Date,Description,Amount,Category,PaymentMethod,Location,AccountType,TransactionType,DeviceUsed,Currency,MerchantType,LoyaltyProgram,Weekday,Month,TimeOfDay
05-04-2025,Transaction at IRCTC,20666.49,Travel,Debit Card,Kolkata,Salary,Debit,Mobile,INR,Service,No,Saturday,April,Night
06-12-2025,Transaction at Myntra,1919.05,Online Shopping,Net Banking,Hyderabad,Salary,Debit,Desktop,INR,Online Store,Yes,Saturday,December,Evening
20-06-2025,Transaction at BigBazaar,2837.68,Grocery,Debit Card,Bangalore,Savings,Debit,Mobile,INR,Retail,No,Friday,June,Evening
23-04-2025,Transaction at Property Tax Online,1071.04,Bills,Net Banking,Delhi,Current,Debit,POS Terminal,INR,Service,Yes,Wednesday,April,Afternoon
06-03-2025,Transaction at Asus Store,10722.8,Electronics,Debit Card,Mumbai,Current,Debit,Mobile,INR,Retail,Yes,Thursday,March,Evening
30-10-2025,Transaction at Max Fashion,3502.77,Clothing,Debit Card,Bangalore,Savings,Debit,POS Terminal,INR,Retail,No,Thursday,October,Morning
11-06-2025,Transaction at Property Tax Online,5334.34,Bills,Credit Card,Pune,Current,Debit,Desktop,INR,Service,Yes,Wednesday,June,Morning
03-01-2025,Transaction at Airtel,1472.58,Bills,UPI,Mumbai,Salary,Debit,Desktop,INR,Service,Yes,Friday,January,Morning
27-07-2025,Transaction at Wrogn,1965.86,Clothing,Credit Card,Delhi,Current,Debit,POS Terminal,INR,Retail,No,Sunday,July,Afternoon
16-08-2025,Transaction at Aha,250.69,Entertainment,Credit Card,Chennai,Salary,Debit,POS Terminal,INR,Subscription,No,Saturday,August,Morning
04-03-2025,Transaction at Airtel,3989.88,Bills,Debit Card,Bangalore,Savings,Debit,Desktop,INR,Service,Yes,Tuesday,March,Evening
23-06-2025,Transaction at Cream Stone,525.94,Food,Credit Card,Mumbai,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Monday,June,Afternoon
24-06-2025,Transaction at Cream Stone,393.35,Food,UPI,Kolkata,Salary,Debit,Desktop,INR,Restaurant,No,Tuesday,June,Afternoon
10-05-2025,Transaction at IndiGo,24147.34,Travel,Net Banking,Hyderabad,Current,Debit,Mobile,INR,Service,No,Saturday,May,Evening
28-07-2025,Transaction at Nilgiris,1295.25,Grocery,UPI,Mumbai,Savings,Debit,POS Terminal,INR,Retail,No,Monday,July,Morning
26-04-2025,Transaction at TSRTC,1287.28,Transport,UPI,Delhi,Current,Debit,POS Terminal,INR,Service,Yes,Saturday,April,Evening
11-02-2025,Transaction at Metro Rail,723.54,Transport,Debit Card,Chennai,Credit Card,Debit,Desktop,INR,Service,Yes,Tuesday,February,Morning
03-05-2025,Transaction at IRCTC,11324.06,Travel,Credit Card,Delhi,Credit Card,Debit,Desktop,INR,Service,Yes,Saturday,May,Evening
27-06-2025,Transaction at Ajio,6989.5,Online Shopping,Credit Card,Kolkata,Salary,Debit,Desktop,INR,Online Store,No,Friday,June,Morning
27-12-2025,Transaction at Nilgiris,1436.49,Grocery,Net Banking,Bangalore,Savings,Debit,Desktop,INR,Retail,Yes,Saturday,December,Morning
10-11-2025,Transaction at Nykaa,16470.71,Online Shopping,UPI,Bangalore,Savings,Debit,POS Terminal,INR,Online Store,No,Monday,November,Morning
21-05-2025,Transaction at Dominos,851.8,Food,Debit Card,Mumbai,Credit Card,Debit,Desktop,INR,Restaurant,No,Wednesday,May,Evening
08-03-2025,Transaction at AirAsia,20599.36,Travel,Debit Card,Mumbai,Salary,Debit,Mobile,INR,Service,No,Saturday,March,Evening
30-11-2025,Transaction at KFC,1260.41,Food,Credit Card,Bangalore,Savings,Debit,POS Terminal,INR,Restaurant,Yes,Sunday,November,Evening
25-08-2025,Transaction at Netflix,828.75,Entertainment,Net Banking,Kolkata,Current,Debit,Mobile,INR,Subscription,Yes,Monday,August,Morning
29-05-2025,Transaction at Apple Store,131786.69,Electronics,Net Banking,Pune,Current,Debit,Mobile,INR,Retail,No,Thursday,May,Evening
06-02-2025,Transaction at Spotify,177.44,Entertainment,Net Banking,Hyderabad,Current,Debit,Mobile,INR,Subscription,Yes,Thursday,February,Morning
09-03-2025,Transaction at Water Board,2367.05,Bills,Net Banking,Bangalore,Current,Debit,Mobile,INR,Service,Yes,Sunday,March,Night
27-02-2025,Transaction at Vodafone Idea,4047.44,Bills,Net Banking,Chennai,Savings,Debit,Desktop,INR,Service,Yes,Thursday,February,Morning
20-05-2025,Transaction at Zara,7133.34,Clothing,UPI,Chennai,Credit Card,Debit,POS Terminal,INR,Retail,No,Tuesday,May,Evening
27-12-2025,Transaction at Ajio,6351.17,Online Shopping,Debit Card,Kolkata,Salary,Debit,Mobile,INR,Online Store,Yes,Saturday,December,Afternoon
20-05-2025,Transaction at Boat Lifestyle,128424.24,Electronics,Debit Card,Chennai,Savings,Debit,POS Terminal,INR,Retail,No,Tuesday,May,Evening
08-02-2025,Transaction at Aster,17253.66,Healthcare,Net Banking,Delhi,Credit Card,Debit,POS Terminal,INR,Service,No,Saturday,February,Morning
23-09-2025,Transaction at OnePlus,134214.53,Electronics,UPI,Pune,Credit Card,Debit,Desktop,INR,Retail,No,Tuesday,September,Morning
25-09-2025,Transaction at Adidas,7195.3,Clothing,Debit Card,Hyderabad,Salary,Debit,Desktop,INR,Retail,No,Thursday,September,Night
27-03-2025,Transaction at CloudNine,18022.92,Healthcare,Debit Card,Bangalore,Savings,Debit,Desktop,INR,Service,No,Thursday,March,Morning
06-02-2025,Transaction at Taco Bell,1158.63,Food,Credit Card,Kolkata,Credit Card,Debit,Mobile,INR,Restaurant,Yes,Thursday,February,Afternoon
26-05-2025,Transaction at Metro Rail,982.63,Transport,UPI,Kolkata,Savings,Debit,Mobile,INR,Service,No,Monday,May,Night
04-10-2025,Transaction at JioMart,552.08,Grocery,Credit Card,Hyderabad,Savings,Debit,Mobile,INR,Retail,No,Saturday,October,Afternoon
07-05-2025,Transaction at Zara,7654.25,Clothing,Net Banking,Kolkata,Current,Debit,Desktop,INR,Retail,No,Wednesday,May,Night
10-04-2025,Transaction at Apple Store,111005.98,Electronics,UPI,Delhi,Credit Card,Debit,Desktop,INR,Retail,Yes,Thursday,April,Morning
27-05-2025,Transaction at Barbeque Nation,610.2,Food,UPI,Chennai,Credit Card,Debit,Mobile,INR,Restaurant,Yes,Tuesday,May,Morning
03-11-2025,Transaction at BigBazaar,2051.12,Grocery,Debit Card,Mumbai,Savings,Debit,POS Terminal,INR,Retail,Yes,Monday,November,Evening
25-02-2025,Transaction at Rapido,601.33,Transport,UPI,Mumbai,Current,Debit,Desktop,INR,Service,No,Tuesday,February,Afternoon
13-12-2025,Transaction at Hotstar,850.41,Entertainment,UPI,Kolkata,Current,Debit,Mobile,INR,Subscription,No,Saturday,December,Afternoon
05-10-2025,Transaction at Snapdeal,17659.33,Online Shopping,Debit Card,Delhi,Credit Card,Debit,Mobile,INR,Online Store,Yes,Sunday,October,Afternoon
20-06-2025,Transaction at Allen Solly,6845.1,Clothing,Debit Card,Mumbai,Salary,Debit,Desktop,INR,Retail,No,Friday,June,Night
22-01-2025,Transaction at 1mg,10543.34,Healthcare,Credit Card,Delhi,Current,Debit,Desktop,INR,Service,No,Wednesday,January,Evening
16-09-2025,Transaction at Biba,1592.02,Clothing,Net Banking,Delhi,Salary,Debit,Desktop,INR,Retail,Yes,Tuesday,September,Evening
03-08-2025,Transaction at Ola,1456.02,Transport,Net Banking,Pune,Current,Debit,Desktop,INR,Service,Yes,Sunday,August,Evening
11-05-2025,Transaction at Asus Store,39285.05,Electronics,Credit Card,Mumbai,Savings,Debit,Mobile,INR,Retail,No,Sunday,May,Afternoon
30-11-2025,Transaction at PharmEasy,14997.81,Healthcare,UPI,Kolkata,Salary,Debit,Mobile,INR,Service,No,Sunday,November,Night
27-05-2025,Transaction at Airtel,5491.42,Bills,UPI,Hyderabad,Current,Debit,Desktop,INR,Service,No,Tuesday,May,Morning
17-10-2025,Transaction at Hotstar,271.2,Entertainment,UPI,Pune,Savings,Debit,POS Terminal,INR,Subscription,Yes,Friday,October,Evening
21-06-2025,Transaction at IndiGo,18720.15,Travel,Net Banking,Kolkata,Salary,Debit,Desktop,INR,Service,Yes,Saturday,June,Morning
14-12-2025,Transaction at Apollo Pharmacy,15857.73,Healthcare,Debit Card,Hyderabad,Current,Debit,Mobile,INR,Service,No,Sunday,December,Morning
02-10-2025,Transaction at A2B,606.98,Food,UPI,Delhi,Credit Card,Debit,Desktop,INR,Restaurant,Yes,Thursday,October,Morning
01-06-2025,Transaction at Taco Bell,866.89,Food,Net Banking,Pune,Salary,Debit,Desktop,INR,Restaurant,No,Sunday,June,Night
24-09-2025,Transaction at Uber,930.7,Transport,Net Banking,Bangalore,Current,Debit,Desktop,INR,Service,Yes,Wednesday,September,Night
12-06-2025,Transaction at IndiGo,19578.06,Travel,Credit Card,Kolkata,Savings,Debit,Mobile,INR,Service,Yes,Thursday,June,Afternoon
27-05-2025,Transaction at Croma,102800.65,Electronics,UPI,Mumbai,Savings,Debit,POS Terminal,INR,Retail,No,Tuesday,May,Morning
15-05-2025,Transaction at US Polo,7247.1,Clothing,Credit Card,Mumbai,Salary,Debit,POS Terminal,INR,Retail,No,Thursday,May,Night
29-04-2025,Transaction at DMart,1809.33,Grocery,UPI,Kolkata,Savings,Debit,POS Terminal,INR,Retail,Yes,Tuesday,April,Night
24-11-2025,Transaction at Ajio,3187.72,Online Shopping,Credit Card,Delhi,Current,Debit,POS Terminal,INR,Online Store,Yes,Monday,November,Morning
03-11-2025,Transaction at Biba,4245.61,Clothing,Net Banking,Mumbai,Salary,Debit,Desktop,INR,Retail,No,Monday,November,Morning
08-05-2025,Transaction at Nykaa,16580.74,Online Shopping,Credit Card,Bangalore,Salary,Debit,POS Terminal,INR,Online Store,No,Thursday,May,Morning
28-11-2025,Transaction at IRCTC,24587.69,Travel,Debit Card,Chennai,Savings,Debit,Mobile,INR,Service,No,Friday,November,Morning
15-02-2025,Transaction at Goibibo,18246.21,Travel,Credit Card,Chennai,Credit Card,Debit,POS Terminal,INR,Service,No,Saturday,February,Night
16-05-2025,Transaction at Croma,114729.44,Electronics,UPI,Chennai,Savings,Debit,Mobile,INR,Retail,No,Friday,May,Afternoon
